| end of split  76 /500 | epoch   1 | time: 15.55s | valid loss 1.4016 | valid ppl 4.0616 | learning rate 5.0000
| end of split  77 /500 | epoch   1 | time: 15.10s | valid loss 1.4141 | valid ppl 4.1126 | learning rate 5.0000
| end of split  78 /500 | epoch   1 | time: 15.75s | valid loss 1.4078 | valid ppl 4.0870 | learning rate 5.0000
| end of split  79 /500 | epoch   1 | time: 15.55s | valid loss 1.4061 | valid ppl 4.0799 | learning rate 5.0000
| end of split  80 /500 | epoch   1 | time: 15.49s | valid loss 1.4101 | valid ppl 4.0965 | learning rate 5.0000
| end of split  81 /500 | epoch   1 | time: 15.33s | valid loss 1.4075 | valid ppl 4.0859 | learning rate 5.0000
| end of split  82 /500 | epoch   1 | time: 14.92s | valid loss 1.4173 | valid ppl 4.1261 | learning rate 5.0000
| end of split  83 /500 | epoch   1 | time: 15.51s | valid loss 1.4082 | valid ppl 4.0887 | learning rate 5.0000
| end of split  84 /500 | epoch   1 | time: 15.37s | valid loss 1.3930 | valid ppl 4.0269 | learning rate 5.0000
| end of split  85 /500 | epoch   1 | time: 15.30s | valid loss 1.3876 | valid ppl 4.0050 | learning rate 5.0000
| end of split  86 /500 | epoch   1 | time: 15.22s | valid loss 1.3970 | valid ppl 4.0430 | learning rate 5.0000
| end of split  87 /500 | epoch   1 | time: 15.02s | valid loss 1.3965 | valid ppl 4.0411 | learning rate 5.0000
| end of split  88 /500 | epoch   1 | time: 14.91s | valid loss 1.3980 | valid ppl 4.0470 | learning rate 5.0000
| end of split  89 /500 | epoch   1 | time: 15.16s | valid loss 1.4057 | valid ppl 4.0784 | learning rate 5.0000
| end of split  90 /500 | epoch   1 | time: 15.13s | valid loss 1.3946 | valid ppl 4.0333 | learning rate 5.0000
| end of split  91 /500 | epoch   1 | time: 15.20s | valid loss 1.4013 | valid ppl 4.0606 | learning rate 5.0000
| end of split  92 /500 | epoch   1 | time: 14.87s | valid loss 1.3870 | valid ppl 4.0030 | learning rate 5.0000
| end of split  93 /500 | epoch   1 | time: 14.91s | valid loss 1.4028 | valid ppl 4.0667 | learning rate 5.0000
| end of split  94 /500 | epoch   1 | time: 15.19s | valid loss 1.3779 | valid ppl 3.9664 | learning rate 5.0000
| end of split  95 /500 | epoch   1 | time: 14.93s | valid loss 1.3991 | valid ppl 4.0515 | learning rate 5.0000
| end of split  96 /500 | epoch   1 | time: 15.25s | valid loss 1.3882 | valid ppl 4.0076 | learning rate 5.0000
| end of split  97 /500 | epoch   1 | time: 14.94s | valid loss 1.3750 | valid ppl 3.9550 | learning rate 5.0000
| end of split  98 /500 | epoch   1 | time: 15.03s | valid loss 1.3800 | valid ppl 3.9751 | learning rate 5.0000
| end of split  99 /500 | epoch   1 | time: 15.00s | valid loss 1.3758 | valid ppl 3.9581 | learning rate 5.0000
| end of split 100 /500 | epoch   1 | time: 15.07s | valid loss 1.3886 | valid ppl 4.0093 | learning rate 5.0000
| end of split 101 /500 | epoch   1 | time: 14.89s | valid loss 1.3993 | valid ppl 4.0522 | learning rate 5.0000
| end of split 102 /500 | epoch   1 | time: 15.07s | valid loss 1.3838 | valid ppl 3.9902 | learning rate 5.0000
| end of split 103 /500 | epoch   1 | time: 14.91s | valid loss 1.3803 | valid ppl 3.9762 | learning rate 5.0000
| end of split 104 /500 | epoch   1 | time: 14.87s | valid loss 1.3766 | valid ppl 3.9614 | learning rate 5.0000
| end of split 105 /500 | epoch   1 | time: 15.38s | valid loss 1.3870 | valid ppl 4.0028 | learning rate 5.0000
| end of split 106 /500 | epoch   1 | time: 15.36s | valid loss 1.3640 | valid ppl 3.9119 | learning rate 5.0000
| end of split 107 /500 | epoch   1 | time: 15.53s | valid loss 1.3807 | valid ppl 3.9777 | learning rate 5.0000
| end of split 108 /500 | epoch   1 | time: 15.27s | valid loss 1.3874 | valid ppl 4.0046 | learning rate 5.0000
| end of split 109 /500 | epoch   1 | time: 15.29s | valid loss 1.3915 | valid ppl 4.0208 | learning rate 5.0000
| end of split 110 /500 | epoch   1 | time: 14.99s | valid loss 1.4221 | valid ppl 4.1457 | learning rate 5.0000
| end of split 111 /500 | epoch   1 | time: 15.37s | valid loss 1.4422 | valid ppl 4.2300 | learning rate 5.0000
| end of split 112 /500 | epoch   1 | time: 15.14s | valid loss 1.4112 | valid ppl 4.1008 | learning rate 5.0000
| end of split 113 /500 | epoch   1 | time: 15.04s | valid loss 1.3966 | valid ppl 4.0415 | learning rate 5.0000
| end of split 114 /500 | epoch   1 | time: 14.87s | valid loss 1.3795 | valid ppl 3.9728 | learning rate 5.0000
| end of split 115 /500 | epoch   1 | time: 14.93s | valid loss 1.3888 | valid ppl 4.0100 | learning rate 5.0000
| end of split 116 /500 | epoch   1 | time: 15.32s | valid loss 1.3884 | valid ppl 4.0084 | learning rate 5.0000
| end of split 117 /500 | epoch   1 | time: 16.00s | valid loss 1.3889 | valid ppl 4.0104 | learning rate 5.0000
| end of split 118 /500 | epoch   1 | time: 15.22s | valid loss 1.3613 | valid ppl 3.9014 | learning rate 1.2500
| end of split 119 /500 | epoch   1 | time: 14.89s | valid loss 1.3516 | valid ppl 3.8638 | learning rate 1.2500
| end of split 120 /500 | epoch   1 | time: 15.25s | valid loss 1.3498 | valid ppl 3.8566 | learning rate 1.2500
| end of split 121 /500 | epoch   1 | time: 14.99s | valid loss 1.3382 | valid ppl 3.8121 | learning rate 1.2500
| end of split 122 /500 | epoch   1 | time: 15.19s | valid loss 1.3415 | valid ppl 3.8247 | learning rate 1.2500
| end of split 123 /500 | epoch   1 | time: 15.07s | valid loss 1.3298 | valid ppl 3.7805 | learning rate 1.2500
| end of split 124 /500 | epoch   1 | time: 14.81s | valid loss 1.3310 | valid ppl 3.7847 | learning rate 1.2500
| end of split 125 /500 | epoch   1 | time: 14.88s | valid loss 1.3252 | valid ppl 3.7630 | learning rate 1.2500
| end of split 126 /500 | epoch   1 | time: 15.13s | valid loss 1.3170 | valid ppl 3.7321 | learning rate 1.2500
| end of split 127 /500 | epoch   1 | time: 15.59s | valid loss 1.3214 | valid ppl 3.7488 | learning rate 1.2500
| end of split 128 /500 | epoch   1 | time: 15.20s | valid loss 1.3131 | valid ppl 3.7176 | learning rate 1.2500
| end of split 129 /500 | epoch   1 | time: 15.17s | valid loss 1.3152 | valid ppl 3.7257 | learning rate 1.2500
| end of split 130 /500 | epoch   1 | time: 15.27s | valid loss 1.3181 | valid ppl 3.7365 | learning rate 1.2500
| end of split 131 /500 | epoch   1 | time: 15.25s | valid loss 1.3258 | valid ppl 3.7652 | learning rate 1.2500
| end of split 132 /500 | epoch   1 | time: 15.96s | valid loss 1.3258 | valid ppl 3.7652 | learning rate 1.2500
| end of split 133 /500 | epoch   1 | time: 15.49s | valid loss 1.3185 | valid ppl 3.7376 | learning rate 1.2500
| end of split 134 /500 | epoch   1 | time: 13.03s | valid loss 1.3171 | valid ppl 3.7327 | learning rate 1.2500
| end of split 135 /500 | epoch   1 | time: 13.33s | valid loss 1.3117 | valid ppl 3.7124 | learning rate 1.2500
| end of split 136 /500 | epoch   1 | time: 13.07s | valid loss 1.3140 | valid ppl 3.7209 | learning rate 1.2500
| end of split 137 /500 | epoch   1 | time: 13.07s | valid loss 1.3212 | valid ppl 3.7480 | learning rate 1.2500
| end of split 138 /500 | epoch   1 | time: 12.80s | valid loss 1.3160 | valid ppl 3.7287 | learning rate 1.2500
| end of split 139 /500 | epoch   1 | time: 12.69s | valid loss 1.3079 | valid ppl 3.6983 | learning rate 1.2500
| end of split 140 /500 | epoch   1 | time: 12.75s | valid loss 1.3110 | valid ppl 3.7100 | learning rate 1.2500
| end of split 141 /500 | epoch   1 | time: 12.85s | valid loss 1.3006 | valid ppl 3.6716 | learning rate 1.2500
| end of split 142 /500 | epoch   1 | time: 13.12s | valid loss 1.3038 | valid ppl 3.6831 | learning rate 1.2500
| end of split 143 /500 | epoch   1 | time: 12.71s | valid loss 1.3016 | valid ppl 3.6754 | learning rate 1.2500
| end of split 144 /500 | epoch   1 | time: 12.88s | valid loss 1.3020 | valid ppl 3.6766 | learning rate 1.2500
